Пол;Возраст;Путешествует с детьми;Расстояние;Включён завтрак;Наличие wifi;Оценка удобства добирания до места;Оценка интерсности досуга;Оценка качества питания;Оценка качества wifi;Оценка комфортности палатки;Общая оценка качества предоставленной услуги
жен;24,9;нет;1128;0;0;5;плохо;отсутствует;отсутствует;плохо;нормально
жен;36,7;нет;1700;0;1;3;хорошо;отсутствует;хорошо;нормально;хорошо
муж;52,2;да;1468;1;1;2;плохо;нормально;плохо;плохо;нормально
жен;60,8;нет;2714;0;1;3;хорошо;отсутствует;хорошо;плохо;хорошо
жен;58,2;нет;734;1;1;4;нормально;плохо;хорошо;нормально;хорошо
жен;60,2;нет;687;1;1;3;хорошо;нормально;нормально;хорошо;хорошо
жен;50,2;нет;1083;1;1;4;нормально;нормально;плохо;нормально;нормально
муж;49,5;да;180;1;0;2;отсутствует;плохо;отсутствует;хорошо;нормально
жен;37,2;нет;123;1;1;4;хорошо;нормально;плохо;плохо;хорошо
жен;60,3;нет;1343;0;1;2;нормально;отсутствует;нормально;хорошо;хорошо
жен;42,5;да;618;0;1;5;нормально;отсутствует;плохо;нормально;хорошо
муж;41,2;нет;889;1;1;4;хорошо;плохо;хорошо;хорошо;хорошо
жен;27,7;да;263;1;0;4;плохо;плохо;отсутствует;нормально;нормально
муж;28,7;нет;439;0;1;4;нормально;отсутствует;плохо;нормально;нормально
жен;34,4;да;1009;1;0;5;плохо;нормально;отсутствует;нормально;нормально
жен;40,8;нет;742;0;1;3;нормально;отсутствует;хорошо;нормально;хорошо
муж;26,8;нет;1536;1;0;3;плохо;хорошо;отсутствует;плохо;нормально
жен;42,5;нет;224;1;1;3;отсутствует;плохо;плохо;плохо;плохо
жен;27,5;нет;1502;0;0;4;плохо;отсутствует;отсутствует;плохо;нормально
жен;32,3;нет;1984;1;1;3;нормально;нормально;плохо;нормально;нормально
муж;35,7;нет;527;0;0;3;нормально;отсутствует;отсутствует;нормально;нормально
муж;69,2;нет;468;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
муж;43,6;нет;855;0;0;4;нормально;отсутствует;отсутствует;нормально;нормально
жен;28,6;нет;319;0;0;3;плохо;отсутствует;отсутствует;нормально;нормально
муж;36,3;нет;550;1;0;3;плохо;плохо;отсутствует;плохо;плохо
муж;21,4;нет;1543;1;0;5;плохо;плохо;отсутствует;хорошо;плохо
жен;26,7;нет;1242;1;1;2;нормально;плохо;нормально;нормально;нормально
муж;24,9;нет;489;0;1;3;нормально;отсутствует;нормально;нормально;хорошо
жен;27,5;нет;319;1;0;4;плохо;нормально;отсутствует;плохо;нормально
муж;49,9;нет;273;0;1;2;отсутствует;отсутствует;хорошо;плохо;хорошо
жен;26,7;нет;569;1;0;4;отсутствует;хорошо;отсутствует;хорошо;хорошо
муж;64,7;да;1122;1;0;3;плохо;нормально;отсутствует;хорошо;нормально
жен;55,6;нет;383;0;0;2;плохо;отсутствует;отсутствует;плохо;нормально
жен;59,9;нет;1050;1;1;3;нормально;нормально;плохо;нормально;нормально
муж;36,5;да;1061;0;1;3;нормально;отсутствует;плохо;нормально;нормально
жен;69,9;нет;146;0;1;3;нормально;отсутствует;нормально;плохо;хорошо
муж;44,9;нет;537;1;1;2;плохо;нормально;плохо;плохо;хорошо
муж;22,4;нет;733;1;1;3;плохо;хорошо;хорошо;плохо;хорошо
муж;50,9;нет;1111;1;1;5;хорошо;плохо;хорошо;хорошо;хорошо
муж;28,8;нет;682;0;1;2;нормально;отсутствует;нормально;хорошо;нормально
муж;33,4;нет;389;0;0;3;плохо;отсутствует;отсутствует;нормально;нормально
муж;50,7;нет;1027;0;1;4;нормально;отсутствует;плохо;нормально;нормально
муж;45,5;да;2714;1;1;3;нормально;нормально;нормально;плохо;нормально
муж;54,5;да;428;0;1;4;нормально;отсутствует;плохо;хорошо;нормально
муж;19,9;нет;1436;0;1;3;нормально;отсутствует;плохо;нормально;нормально
жен;26,9;нет;246;1;1;2;нормально;нормально;плохо;нормально;нормально
жен;54,4;нет;299;1;0;2;нормально;плохо;отсутствует;плохо;нормально
муж;64,5;нет;1117;0;0;2;хорошо;отсутствует;отсутствует;хорошо;нормально
жен;25,6;нет;241;1;1;3;нормально;плохо;плохо;плохо;плохо
жен;48,2;нет;2439;0;1;2;нормально;отсутствует;плохо;нормально;нормально
жен;41,2;нет;263;1;0;3;плохо;хорошо;отсутствует;хорошо;нормально
муж;23,8;нет;526;1;1;2;нормально;плохо;плохо;плохо;плохо
муж;49,9;нет;732;0;0;4;плохо;отсутствует;отсутствует;нормально;нормально
жен;37,8;да;251;1;0;3;плохо;нормально;отсутствует;плохо;нормально
муж;31,4;нет;1083;1;1;4;нормально;плохо;плохо;хорошо;нормально
жен;64,8;да;1061;1;0;4;плохо;хорошо;отсутствует;плохо;хорошо
жен;65,5;да;600;1;1;2;нормально;хорошо;плохо;нормально;хорошо
жен;65,9;нет;881;1;1;4;нормально;нормально;плохо;нормально;нормально
жен;45,8;нет;849;1;0;3;плохо;плохо;отсутствует;плохо;плохо
муж;23,7;нет;1133;1;1;4;хорошо;хорошо;хорошо;хорошо;хорошо
жен;57,5;нет;659;1;1;2;нормально;нормально;нормально;нормально;нормально
муж;60,2;нет;854;1;0;3;плохо;нормально;отсутствует;нормально;нормально
муж;43,2;нет;808;0;0;4;плохо;отсутствует;отсутствует;плохо;нормально
муж;45,5;нет;679;0;0;3;нормально;отсутствует;отсутствует;нормально;хорошо
муж;53,3;нет;679;1;0;3;плохо;нормально;отсутствует;нормально;нормально
жен;40,7;нет;1427;0;0;2;плохо;отсутствует;отсутствует;плохо;плохо
жен;29,6;нет;682;0;1;4;нормально;отсутствует;плохо;нормально;нормально
муж;43,9;нет;1064;1;1;2;хорошо;нормально;нормально;хорошо;хорошо
муж;38,5;нет;250;1;0;4;плохо;нормально;отсутствует;хорошо;нормально
жен;51,9;нет;333;1;1;2;нормально;нормально;нормально;хорошо;нормально
жен;28,9;нет;288;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
муж;33,3;да;659;0;1;2;нормально;отсутствует;плохо;нормально;нормально
муж;62,4;нет;1023;0;0;4;плохо;отсутствует;отсутствует;нормально;нормально
жен;32,6;да;2073;1;1;4;нормально;плохо;плохо;хорошо;нормально
жен;39,2;да;379;0;1;3;хорошо;отсутствует;хорошо;хорошо;хорошо
жен;31,8;нет;233;1;1;4;нормально;хорошо;плохо;нормально;нормально
муж;37,8;нет;2325;1;1;3;нормально;хорошо;плохо;плохо;нормально
муж;26,2;нет;783;0;0;2;плохо;отсутствует;отсутствует;плохо;плохо
муж;39,7;да;973;0;1;2;нормально;отсутствует;нормально;нормально;нормально
муж;33,9;нет;458;0;1;3;нормально;отсутствует;плохо;нормально;нормально
жен;60,6;нет;333;1;0;2;плохо;нормально;отсутствует;нормально;нормально
муж;59,3;нет;479;1;1;3;хорошо;нормально;нормально;хорошо;нормально
жен;25,2;нет;212;1;1;3;нормально;плохо;нормально;нормально;хорошо
муж;45,6;нет;485;1;1;3;нормально;плохо;плохо;нормально;плохо
жен;49,6;да;879;1;0;3;нормально;плохо;отсутствует;плохо;плохо
жен;39,8;нет;582;1;1;2;нормально;плохо;нормально;плохо;плохо
муж;28,4;нет;866;0;0;2;плохо;отсутствует;отсутствует;плохо;плохо
жен;47,6;нет;1133;1;1;4;нормально;плохо;нормально;нормально;нормально
муж;65,6;нет;883;0;1;4;нормально;отсутствует;нормально;нормально;нормально
муж;59,8;да;631;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
жен;44,9;нет;563;1;1;3;плохо;нормально;хорошо;плохо;хорошо
жен;49,9;нет;1229;0;0;3;плохо;отсутствует;отсутствует;нормально;нормально
жен;21,6;нет;579;1;0;2;плохо;плохо;отсутствует;нормально;плохо
муж;50,4;нет;307;1;1;4;нормально;хорошо;плохо;плохо;нормально
жен;26,8;нет;277;1;0;3;плохо;нормально;отсутствует;нормально;нормально
муж;60,3;нет;958;0;1;5;нормально;отсутствует;нормально;хорошо;хорошо
жен;45,2;нет;1984;0;0;4;нормально;отсутствует;отсутствует;нормально;нормально
жен;20,7;нет;552;0;0;5;плохо;отсутствует;отсутствует;хорошо;нормально
муж;42,9;нет;595;0;1;2;нормально;отсутствует;нормально;нормально;хорошо
жен;27,8;нет;1136;0;1;1;нормально;отсутствует;плохо;нормально;нормально
муж;42,9;нет;823;0;1;5;нормально;отсутствует;плохо;нормально;нормально
муж;19,5;нет;1079;0;1;3;нормально;отсутствует;нормально;нормально;нормально
муж;51,9;нет;436;1;1;2;плохо;нормально;нормально;хорошо;хорошо
жен;34,8;да;1126;0;0;2;плохо;отсутствует;отсутствует;нормально;нормально
жен;38,7;нет;434;1;1;2;плохо;нормально;нормально;плохо;хорошо
жен;50,4;нет;709;1;0;4;плохо;нормально;отсутствует;хорошо;нормально
муж;37,7;нет;537;0;0;3;плохо;отсутствует;отсутствует;нормально;нормально
муж;52,4;да;1104;1;1;3;нормально;плохо;нормально;нормально;нормально
жен;26,4;нет;932;0;0;3;плохо;отсутствует;отсутствует;плохо;нормально
жен;42,4;нет;1746;1;0;2;плохо;нормально;отсутствует;плохо;нормально
жен;36,8;нет;298;0;1;2;нормально;отсутствует;нормально;нормально;хорошо
жен;35,7;нет;588;1;0;2;плохо;плохо;отсутствует;нормально;плохо
муж;28,3;нет;765;1;0;3;плохо;плохо;отсутствует;плохо;плохо
муж;55,5;да;1708;0;0;2;плохо;отсутствует;отсутствует;хорошо;нормально
муж;40,2;нет;1020;0;1;2;нормально;отсутствует;нормально;плохо;хорошо
муж;33,7;нет;1689;1;1;4;хорошо;нормально;хорошо;хорошо;хорошо
жен;33,5;да;2628;0;1;3;хорошо;отсутствует;плохо;нормально;хорошо
жен;35,7;нет;1758;0;1;4;нормально;отсутствует;хорошо;нормально;хорошо
жен;41,8;нет;587;0;1;2;хорошо;отсутствует;плохо;хорошо;нормально
муж;60,8;да;831;1;1;3;нормально;хорошо;нормально;нормально;нормально
жен;34,9;нет;1489;1;0;1;плохо;плохо;отсутствует;плохо;нормально
жен;62,6;нет;126;1;1;5;нормально;плохо;хорошо;нормально;хорошо
жен;29,3;нет;233;0;1;2;нормально;отсутствует;плохо;хорошо;нормально
жен;51,4;нет;1002;0;1;3;плохо;отсутствует;плохо;плохо;хорошо
муж;39,3;нет;516;1;1;2;нормально;хорошо;нормально;нормально;хорошо
жен;28,5;нет;453;1;1;3;нормально;плохо;нормально;плохо;нормально
жен;53,8;нет;525;1;1;3;нормально;нормально;плохо;хорошо;нормально
жен;39,2;нет;453;1;0;2;хорошо;плохо;отсутствует;хорошо;плохо
муж;39,7;нет;1074;0;1;3;хорошо;отсутствует;хорошо;хорошо;хорошо
жен;26,9;нет;469;1;1;3;плохо;плохо;плохо;нормально;плохо
жен;40,6;да;2211;0;0;3;плохо;отсутствует;отсутствует;нормально;нормально
жен;36,3;да;911;1;1;3;нормально;нормально;плохо;плохо;нормально
муж;70,3;нет;1261;1;0;3;плохо;хорошо;отсутствует;хорошо;нормально
муж;53,5;да;451;0;0;5;нормально;отсутствует;отсутствует;плохо;нормально
жен;50,4;нет;517;1;1;3;нормально;хорошо;плохо;плохо;хорошо
муж;41,8;нет;936;1;1;4;нормально;хорошо;хорошо;нормально;хорошо
жен;59,2;нет;2558;1;0;2;нормально;хорошо;отсутствует;плохо;нормально
муж;39,7;нет;343;0;0;5;плохо;отсутствует;отсутствует;хорошо;нормально
жен;35,3;нет;114;0;0;5;отсутствует;отсутствует;отсутствует;хорошо;нормально
муж;44,3;да;1003;1;0;4;плохо;плохо;отсутствует;хорошо;плохо
муж;61,7;да;845;0;0;2;хорошо;отсутствует;отсутствует;хорошо;нормально
муж;54,2;да;194;0;1;4;нормально;отсутствует;нормально;хорошо;нормально
жен;62,7;нет;357;0;1;3;нормально;отсутствует;плохо;нормально;нормально
жен;41,8;нет;785;0;1;2;нормально;отсутствует;нормально;нормально;хорошо
муж;25,7;нет;1050;1;0;4;плохо;плохо;отсутствует;плохо;плохо
муж;24,4;нет;146;0;0;3;хорошо;отсутствует;отсутствует;нормально;нормально
муж;29,4;нет;1485;0;0;2;плохо;отсутствует;отсутствует;нормально;нормально
муж;33,6;нет;374;1;0;2;плохо;плохо;отсутствует;нормально;плохо
муж;35,8;да;482;1;0;3;плохо;нормально;отсутствует;плохо;нормально
жен;29,7;да;850;1;1;3;нормально;нормально;плохо;плохо;нормально
муж;38,6;нет;545;0;0;5;плохо;отсутствует;отсутствует;нормально;нормально
жен;55,8;нет;236;1;1;3;нормально;нормально;плохо;плохо;нормально
муж;59,9;нет;227;0;0;5;плохо;отсутствует;отсутствует;нормально;нормально
жен;29,2;нет;229;1;0;3;отсутствует;плохо;отсутствует;плохо;нормально
жен;20,4;нет;890;0;0;4;отсутствует;отсутствует;отсутствует;нормально;хорошо
муж;27,2;нет;436;1;1;4;нормально;хорошо;плохо;хорошо;нормально
жен;42,2;да;1599;1;0;5;плохо;нормально;отсутствует;хорошо;нормально
жен;41,9;нет;259;1;0;3;плохо;плохо;отсутствует;нормально;нормально
муж;46,6;да;263;0;1;4;отсутствует;отсутствует;плохо;хорошо;нормально
жен;19,5;нет;2264;1;0;3;плохо;плохо;отсутствует;плохо;нормально
муж;24,5;нет;790;0;1;3;нормально;отсутствует;плохо;нормально;нормально
жен;47,9;нет;486;1;1;4;нормально;нормально;плохо;нормально;нормально
муж;51,8;нет;386;0;1;3;нормально;отсутствует;плохо;нормально;нормально
жен;59,9;нет;374;0;0;2;нормально;отсутствует;отсутствует;нормально;нормально
муж;30,2;да;1875;1;1;1;нормально;плохо;плохо;нормально;нормально
жен;53,8;нет;488;1;1;4;хорошо;хорошо;хорошо;нормально;хорошо
жен;29,8;нет;1022;0;1;3;нормально;отсутствует;плохо;нормально;плохо
муж;38,4;да;839;1;1;2;нормально;нормально;плохо;плохо;нормально
муж;27,8;нет;1426;0;1;4;нормально;отсутствует;хорошо;хорошо;хорошо
жен;36,7;нет;104;1;0;3;плохо;плохо;отсутствует;плохо;плохо
жен;38,3;нет;1158;0;0;3;плохо;отсутствует;отсутствует;плохо;нормально
жен;64,4;нет;788;0;0;5;плохо;отсутствует;отсутствует;нормально;нормально
жен;67,6;нет;341;1;0;3;плохо;плохо;отсутствует;плохо;плохо
муж;54,3;нет;614;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
жен;19,7;нет;484;1;0;4;плохо;хорошо;отсутствует;хорошо;нормально
жен;23,6;нет;1102;0;1;2;нормально;отсутствует;нормально;нормально;нормально
муж;66,3;да;949;1;1;3;нормально;нормально;нормально;нормально;нормально
жен;42,9;нет;1106;1;1;4;хорошо;плохо;хорошо;хорошо;хорошо
жен;44,6;да;3828;0;1;3;плохо;отсутствует;плохо;нормально;хорошо
жен;33,5;нет;229;1;1;4;хорошо;нормально;хорошо;нормально;хорошо
жен;41,7;нет;464;1;0;4;плохо;плохо;отсутствует;плохо;плохо
муж;64,6;нет;1584;0;1;4;нормально;отсутствует;нормально;хорошо;нормально
жен;20,2;нет;1120;0;0;3;нормально;отсутствует;отсутствует;нормально;нормально
муж;36,5;нет;167;0;0;4;плохо;отсутствует;отсутствует;плохо;нормально
муж;78,4;нет;114;1;1;2;хорошо;хорошо;нормально;хорошо;нормально
муж;67,3;нет;1167;0;0;5;плохо;отсутствует;отсутствует;нормально;нормально
жен;21,5;нет;462;0;0;2;плохо;отсутствует;отсутствует;плохо;плохо
жен;48,7;нет;287;1;0;2;отсутствует;хорошо;отсутствует;нормально;нормально
муж;26,9;нет;1105;1;1;2;нормально;нормально;нормально;нормально;нормально
жен;34,3;нет;810;1;0;3;плохо;нормально;отсутствует;плохо;нормально
жен;70,8;нет;640;0;0;2;плохо;отсутствует;отсутствует;хорошо;нормально
жен;57,4;да;409;0;1;3;хорошо;отсутствует;плохо;хорошо;нормально
жен;54,5;нет;1051;1;1;2;хорошо;хорошо;нормально;плохо;нормально
муж;28,9;нет;807;1;1;4;хорошо;нормально;хорошо;плохо;хорошо
муж;46,7;да;648;0;1;5;хорошо;отсутствует;хорошо;хорошо;хорошо
жен;20,9;нет;558;1;1;4;хорошо;плохо;хорошо;хорошо;хорошо
жен;47,9;да;410;1;0;3;плохо;нормально;отсутствует;нормально;нормально
муж;22,5;нет;314;0;0;4;плохо;отсутствует;отсутствует;нормально;нормально
жен;68,7;нет;318;1;1;1;нормально;плохо;плохо;нормально;плохо
муж;28,3;нет;2954;0;0;3;плохо;отсутствует;отсутствует;плохо;плохо
муж;59,2;да;1121;1;1;2;нормально;нормально;нормально;нормально;нормально
жен;59,4;да;850;1;0;3;плохо;плохо;отсутствует;нормально;нормально
муж;53,6;нет;899;0;1;4;нормально;отсутствует;плохо;хорошо;нормально
жен;22,2;нет;1272;0;1;4;нормально;отсутствует;нормально;нормально;хорошо
муж;38,5;нет;2170;0;1;4;плохо;отсутствует;нормально;плохо;нормально
жен;40,2;да;745;1;0;5;плохо;плохо;отсутствует;хорошо;нормально
муж;37,8;да;1591;1;0;4;плохо;нормально;отсутствует;хорошо;нормально
жен;37,9;да;1416;0;1;2;нормально;отсутствует;плохо;плохо;нормально
муж;65,6;нет;434;0;0;2;плохо;отсутствует;отсутствует;плохо;плохо
жен;19,2;нет;420;0;0;3;плохо;отсутствует;отсутствует;плохо;плохо
муж;60,9;нет;517;1;1;3;хорошо;хорошо;хорошо;нормально;хорошо
муж;47,7;нет;263;0;1;2;нормально;отсутствует;плохо;нормально;нормально
муж;27,3;нет;636;1;0;2;нормально;плохо;отсутствует;нормально;нормально
жен;21,2;нет;505;1;1;4;хорошо;плохо;хорошо;плохо;хорошо
жен;38,9;нет;1524;0;0;2;плохо;отсутствует;отсутствует;плохо;плохо
муж;45,8;да;1057;0;1;4;нормально;отсутствует;нормально;нормально;нормально
муж;33,3;нет;874;1;0;3;отсутствует;нормально;отсутствует;плохо;хорошо
муж;46,4;нет;724;1;1;4;нормально;плохо;нормально;нормально;нормально
муж;59,6;нет;956;1;0;3;нормально;плохо;отсутствует;плохо;плохо
жен;49,9;нет;624;1;0;3;плохо;хорошо;отсутствует;нормально;нормально
муж;27,4;нет;395;1;0;5;плохо;плохо;отсутствует;нормально;нормально
жен;24,7;нет;1144;1;1;3;нормально;нормально;плохо;хорошо;нормально
жен;54,5;нет;818;1;0;2;нормально;плохо;отсутствует;плохо;плохо
муж;60,7;да;580;1;0;4;плохо;нормально;отсутствует;хорошо;нормально
муж;36,9;да;658;0;1;4;нормально;отсутствует;нормально;хорошо;хорошо
жен;36,7;да;874;1;0;3;плохо;плохо;отсутствует;плохо;плохо
жен;35,8;нет;469;1;1;3;нормально;нормально;плохо;нормально;нормально
жен;69,4;нет;442;0;1;2;плохо;отсутствует;плохо;плохо;плохо
жен;41,4;нет;392;1;0;3;плохо;хорошо;отсутствует;нормально;нормально
муж;58,6;да;2332;0;0;3;плохо;отсутствует;отсутствует;нормально;нормально
жен;25,9;нет;644;0;1;4;нормально;отсутствует;нормально;нормально;хорошо
муж;26,4;нет;850;1;0;4;плохо;хорошо;отсутствует;плохо;нормально
жен;51,7;да;762;1;1;2;плохо;плохо;плохо;нормально;плохо
жен;45,8;нет;2623;1;0;4;плохо;плохо;отсутствует;хорошо;нормально
муж;67,9;нет;611;1;0;4;плохо;нормально;отсутствует;хорошо;нормально
муж;48,8;нет;665;0;1;5;хорошо;отсутствует;хорошо;нормально;хорошо
муж;28,9;нет;126;0;1;2;нормально;отсутствует;плохо;нормально;нормально
муж;59,8;нет;273;0;1;3;нормально;отсутствует;плохо;плохо;нормально
муж;41,7;да;104;1;0;4;отсутствует;нормально;отсутствует;нормально;нормально
жен;20,2;нет;599;0;0;3;плохо;отсутствует;отсутствует;нормально;нормально
муж;41,3;нет;994;0;1;4;хорошо;отсутствует;нормально;хорошо;нормально
муж;28,8;нет;1087;1;1;2;нормально;нормально;плохо;нормально;нормально
муж;48,5;нет;1295;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
жен;44,2;да;858;1;0;3;плохо;плохо;отсутствует;плохо;плохо
жен;62,7;да;126;1;1;4;нормально;хорошо;плохо;хорошо;нормально
муж;24,4;нет;295;0;0;4;плохо;отсутствует;отсутствует;нормально;нормально
муж;30,9;нет;1126;1;1;3;плохо;нормально;плохо;плохо;нормально
муж;32,4;нет;899;0;0;5;плохо;отсутствует;отсутствует;хорошо;нормально
жен;51,7;нет;162;1;1;4;нормально;хорошо;хорошо;нормально;хорошо
муж;43,5;нет;1072;1;1;3;плохо;нормально;плохо;плохо;плохо
жен;48,9;нет;1084;0;1;4;плохо;отсутствует;хорошо;плохо;хорошо
жен;53,5;нет;523;1;1;5;нормально;нормально;нормально;плохо;нормально
жен;23,5;нет;1061;1;1;4;плохо;хорошо;хорошо;плохо;хорошо
жен;49,3;нет;871;0;1;4;нормально;отсутствует;нормально;хорошо;нормально
жен;47,2;нет;1123;1;1;3;хорошо;плохо;хорошо;хорошо;хорошо
жен;38,5;да;1046;1;1;5;хорошо;плохо;хорошо;плохо;хорошо
жен;22,4;нет;1112;1;1;5;хорошо;хорошо;хорошо;хорошо;хорошо
муж;67,7;нет;1051;0;0;2;плохо;отсутствует;отсутствует;нормально;плохо
жен;60,3;нет;201;1;1;4;нормально;хорошо;плохо;нормально;нормально
жен;28,7;нет;488;0;1;5;хорошо;отсутствует;хорошо;нормально;хорошо
муж;37,9;нет;459;1;0;3;нормально;плохо;отсутствует;хорошо;нормально
муж;41,4;нет;473;1;1;4;нормально;плохо;плохо;хорошо;нормально
муж;36,8;да;374;0;0;4;плохо;отсутствует;отсутствует;нормально;нормально
муж;44,6;нет;1074;1;0;2;нормально;плохо;отсутствует;нормально;плохо
муж;70,6;нет;490;1;0;4;плохо;плохо;отсутствует;нормально;нормально
муж;52,6;да;200;0;0;4;отсутствует;отсутствует;отсутствует;хорошо;нормально
муж;48,4;нет;1103;1;1;2;нормально;нормально;плохо;нормально;нормально
жен;26,7;нет;898;1;1;3;нормально;нормально;нормально;нормально;нормально
жен;22,2;нет;1070;1;1;5;хорошо;плохо;хорошо;хорошо;хорошо
муж;50,5;нет;1139;1;1;3;нормально;нормально;плохо;нормально;нормально
муж;31,3;нет;138;1;1;3;нормально;нормально;плохо;хорошо;нормально
муж;58,6;да;1436;1;0;4;плохо;плохо;отсутствует;нормально;нормально
муж;65,7;нет;688;1;1;3;нормально;плохо;плохо;плохо;плохо
жен;30,7;да;822;1;0;4;плохо;плохо;отсутствует;нормально;плохо
муж;54,4;нет;104;1;0;3;плохо;хорошо;отсутствует;плохо;нормально
жен;46,2;да;1426;1;0;4;плохо;нормально;отсутствует;плохо;хорошо
муж;44,9;нет;809;1;1;2;нормально;плохо;нормально;нормально;нормально
жен;22,3;нет;261;0;0;4;плохо;отсутствует;отсутствует;нормально;хорошо
муж;47,6;да;909;0;1;3;нормально;отсутствует;нормально;плохо;нормально
жен;57,3;нет;189;1;1;4;нормально;плохо;плохо;нормально;хорошо
жен;63,7;да;929;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
жен;27,5;нет;260;0;1;3;нормально;отсутствует;плохо;плохо;нормально
муж;18,4;нет;905;1;1;4;хорошо;плохо;хорошо;хорошо;хорошо
жен;35,7;нет;1739;1;1;4;хорошо;нормально;хорошо;хорошо;хорошо
муж;30,3;да;795;1;0;4;хорошо;плохо;отсутствует;хорошо;нормально
жен;31,7;нет;229;0;1;5;нормально;отсутствует;плохо;хорошо;нормально
муж;38,5;нет;393;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
муж;69,6;нет;182;0;0;4;отсутствует;отсутствует;отсутствует;плохо;плохо
муж;46,5;нет;1004;1;1;4;хорошо;нормально;хорошо;хорошо;хорошо
жен;60,9;нет;2647;1;1;4;плохо;нормально;нормально;нормально;хорошо
муж;54,5;нет;1229;1;0;4;плохо;нормально;отсутствует;хорошо;нормально
муж;25,8;нет;178;1;0;4;плохо;плохо;отсутствует;плохо;плохо
жен;23,9;нет;516;1;0;2;плохо;плохо;отсутствует;нормально;плохо
муж;63,4;нет;1249;0;0;4;плохо;отсутствует;отсутствует;плохо;нормально
муж;29,6;нет;378;0;0;3;нормально;отсутствует;отсутствует;плохо;нормально
муж;50,4;нет;638;1;1;3;нормально;плохо;нормально;хорошо;нормально
жен;40,8;нет;734;1;1;4;нормально;плохо;плохо;хорошо;нормально
муж;42,3;нет;1072;0;0;3;плохо;отсутствует;отсутствует;плохо;нормально
муж;55,5;нет;488;0;1;4;нормально;отсутствует;нормально;нормально;хорошо
муж;31,4;нет;1788;0;1;3;хорошо;отсутствует;плохо;хорошо;нормально
жен;63,7;нет;384;0;0;2;хорошо;отсутствует;отсутствует;хорошо;нормально
жен;45,4;да;516;1;1;3;хорошо;хорошо;хорошо;хорошо;хорошо
муж;22,2;нет;221;1;0;4;плохо;нормально;отсутствует;нормально;нормально
муж;50,4;нет;720;1;0;4;плохо;плохо;отсутствует;хорошо;плохо
муж;60,3;нет;284;0;1;4;нормально;отсутствует;нормально;хорошо;нормально
жен;37,2;нет;1426;0;1;3;нормально;отсутствует;плохо;нормально;нормально
жен;47,5;нет;825;1;0;4;плохо;плохо;отсутствует;нормально;нормально
муж;29,4;да;1343;1;1;4;нормально;нормально;нормально;нормально;хорошо
жен;20,2;нет;428;0;0;5;плохо;отсутствует;отсутствует;хорошо;нормально
жен;55,2;нет;565;1;1;3;плохо;хорошо;плохо;плохо;плохо
муж;59,6;нет;423;1;0;5;плохо;нормально;отсутствует;плохо;хорошо
жен;66,6;нет;403;0;1;2;нормально;отсутствует;плохо;нормально;нормально
жен;31,7;нет;1672;0;0;3;нормально;отсутствует;отсутствует;плохо;плохо
жен;52,6;да;302;1;1;3;нормально;хорошо;плохо;нормально;нормально
муж;55,2;да;1526;0;1;4;хорошо;отсутствует;хорошо;хорошо;хорошо
жен;39,9;нет;858;1;1;4;нормально;плохо;плохо;нормально;плохо
муж;60,6;нет;838;0;1;3;нормально;отсутствует;нормально;нормально;нормально
жен;46,3;нет;276;1;0;2;плохо;хорошо;отсутствует;хорошо;нормально
жен;72,6;нет;207;1;1;5;плохо;нормально;хорошо;плохо;хорошо
муж;42,6;нет;368;0;1;4;нормально;отсутствует;нормально;плохо;нормально
муж;46,5;да;303;1;1;4;нормально;плохо;нормально;плохо;плохо
муж;56,6;нет;138;1;0;2;отсутствует;нормально;отсутствует;плохо;нормально
жен;38,7;нет;303;0;0;4;отсутствует;отсутствует;отсутствует;плохо;нормально
жен;19,6;нет;800;1;0;4;плохо;нормально;отсутствует;плохо;нормально
жен;30,8;да;544;1;1;4;хорошо;нормально;нормально;нормально;хорошо
жен;28,8;нет;973;0;1;4;нормально;отсутствует;нормально;хорошо;нормально
жен;46,5;нет;758;1;0;4;плохо;плохо;отсутствует;хорошо;нормально
муж;44,5;нет;565;1;0;4;плохо;хорошо;отсутствует;нормально;нормально
муж;55,3;нет;558;0;1;3;хорошо;отсутствует;хорошо;хорошо;хорошо
жен;24,4;нет;273;0;1;3;нормально;отсутствует;нормально;нормально;нормально
муж;45,3;нет;453;1;0;3;плохо;плохо;отсутствует;нормально;плохо
муж;40,3;да;450;1;1;3;плохо;нормально;плохо;плохо;плохо
жен;41,7;нет;2512;0;1;2;нормально;отсутствует;нормально;нормально;хорошо
муж;58,6;нет;166;0;1;3;плохо;отсутствует;нормально;плохо;хорошо
муж;48,3;нет;2593;0;0;2;плохо;отсутствует;отсутствует;нормально;плохо
муж;41,9;нет;1655;1;0;5;плохо;плохо;отсутствует;хорошо;плохо
муж;47,7;нет;345;0;1;3;нормально;отсутствует;нормально;хорошо;хорошо
муж;24,6;нет;755;1;0;4;плохо;хорошо;отсутствует;плохо;нормально
жен;53,2;нет;521;1;1;4;нормально;нормально;плохо;плохо;нормально
